name,type,category,sourceBlock,line,alreadyWindowExposed,neededGlobalByInlineHandler
NOTIF_CLEANUP_INTERVAL_KEY,assign,notifications,main,20303,False,False
NOTIF_CLEANUP_LASTRUN_KEY,assign,notifications,main,20304,False,False
_getNotifCleanupIntervalDays,function,notif-cleanup-admin,main,20306,False,False
_getNotifCleanupLastRun,function,notif-cleanup-admin,main,20310,False,False
_setNotifCleanupLastRun,function,notif-cleanup-admin,main,20314,False,False
_renderNotifCleanupStatus,function,notif-cleanup-admin,main,20317,False,False
_formatNotifBytes,function,notif-cleanup-admin,main,20326,False,False
_setNotifScanSummary,function,notif-cleanup-admin,main,20334,False,False
_notifAutoCleanupTimer,assign,notifications,main,20343,False,False
_startNotifAutoCleanupSchedule,function,notif-cleanup-admin,main,20344,False,False
scanNotificationsDataNow,function,notifications,main,20358,False,True
setNotifCleanupInterval,function,notif-cleanup-admin,main,20383,False,True
_maybeRunNotifAutoCleanup,function,notif-cleanup-admin,main,20392,False,False
adminDeleteNotificationsNow,function,notifications,main,20407,False,True
_runNotifPurgeNow,function,notifications,main,20451,False,True
_esc,function,utils-core,main,20527,False,True
IMG_CLEANUP_LASTRUN_KEY,assign,settings,main,20546,False,False
IMG_CLEANUP_INTERVAL_KEY,assign,settings,main,20547,False,False
_getImgCleanupLastRun,function,img-cleanup-admin,main,20549,False,False
_setImgCleanupLastRun,function,img-cleanup-admin,main,20553,False,False
_getImgCleanupIntervalDays,function,img-cleanup-admin,main,20556,False,False
_renderImgCleanupStatus,function,img-cleanup-admin,main,20560,False,False
_formatImgBytes,function,img-cleanup-admin,main,20569,False,False
_setImgScanSummary,function,img-cleanup-admin,main,20575,False,False
_imgCleanupEligibleSprintIds,function,img-cleanup-admin,main,20584,False,False
_imgCleanupEligibleTaskIds,function,img-cleanup-admin,main,20609,False,False
_stripDataUriImages,function,img-cleanup-admin,main,20618,False,False
_imgCleanupPlanForTask,function,img-cleanup-admin,main,20631,False,False
_imgCleanupScanOrRun,function,img-cleanup-admin,main,20682,False,False
scanImageCleanupNow,function,settings,main,20724,False,True
adminStripImagesNow,function,settings,main,20747,False,True
_runImageStripNow,function,settings,main,20777,False,True
setImgCleanupInterval,function,img-cleanup-admin,main,20807,False,True
_maybeRunImgAutoCleanup,function,img-cleanup-admin,main,20818,False,False
_imgAutoCleanupTimer,assign,img-cleanup-admin,main,20842,False,False
_startImgAutoCleanupSchedule,function,img-cleanup-admin,main,20843,False,False
_projectMultiSelectHTML,function,productivity-report,main,20857,False,False
_collectCheckedProjects,function,admin-settings,main,20873,False,False
_saveAdminConfig,function,admin-settings,main,20880,False,False
_fbSaveProduct,function,admin-settings,main,20884,False,False
_fbDeleteProduct,function,admin-settings,main,20891,False,False
_fbSaveTag,function,admin-settings,main,20898,False,False
_fbDeleteTag,function,admin-settings,main,20905,False,False
openProductModal,function,settings,main,20914,False,True
saveProduct,function,settings,main,20971,False,True
deleteProduct,function,settings,main,20998,False,True
openTagModal,function,settings,main,21009,False,True
saveTag,function,settings,main,21065,False,True
deleteTag,function,settings,main,21092,False,True
_themeId,function,utils-core,main,21102,False,False
_renderThemesList,function,admin-settings,main,21104,False,False
_fbSaveTheme,function,admin-settings,main,21134,False,False
_fbDeleteTheme,function,admin-settings,main,21141,False,False
openThemeModal,function,settings,main,21148,False,True
saveTheme,function,settings,main,21204,False,True
deleteTheme,function,settings,main,21231,False,True
_xlGetDataWithFilters,function,export-excel,main,21248,False,False
NotificationSystem,iife,notifications,notification-system,21364,True,False
NotificationTriggers,iife,notifications,notification-system,22263,True,False
ReminderEngine,iife,notifications,reminder-engine,22459,True,False
NotificationUI,iife,notifications,notification-ui,22544,True,False
RetroManager,iife,retrospectives,retro-manager-and-release-reports,23161,False,False
_populateRetroProjectFilter,function,projects,retro-manager-and-release-reports,23370,False,False
_populateRetroSprintFilter,function,release-reports-extra,retro-manager-and-release-reports,23388,False,False
_onRetroProjectFilterChange,function,retrospectives,retro-manager-and-release-reports,23426,False,True
